PM10,PM2.5,SO2,NO2,O3,CO,Latitude,Longitude
68.0,50.0,0.006,0.037,0.026,0.7,37.5720164,127.0050075
57.0,38.0,0.005,0.032,0.029,0.6,37.5720164,127.0050075
52.0,35.0,0.005,0.036,0.025,0.7,37.5720164,127.0050075
57.0,36.0,0.005,0.043,0.017,0.7,37.5720164,127.0050075
58.0,37.0,0.005,0.047,0.014,0.8,37.5720164,127.0050075
57.0,41.0,0.005,0.048,0.011,0.8,37.5720164,127.0050075
49.0,35.0,0.005,0.053,0.0069999999999999,0.7,37.5720164,127.0050075
48.0,31.0,0.004,0.054,0.006,0.8,37.5720164,127.0050075
46.0,31.0,0.005,0.065,0.002,1.1,37.5720164,127.0050075
51.0,32.0,0.005,0.064,0.002,1.1,37.5720164,127.0050075
49.0,32.0,0.004,0.055,0.004,0.9,37.5720164,127.0050075
50.0,32.0,0.004,0.055,0.002,0.9,37.5720164,127.0050075
54.0,34.0,0.005,0.052,0.003,0.9,37.5720164,127.0050075
55.0,37.0,0.005,0.05,0.003,0.9,37.5720164,127.0050075
59.0,39.0,0.004,0.05,0.002,0.9,37.5720164,127.0050075
59.0,41.0,0.005,0.049,0.002,0.9,37.5720164,127.0050075
63.0,43.0,0.005,0.053,0.002,0.1,37.5720164,127.0050075
58.0,44.0,0.005,0.058,0.002,1.2,37.5720164,127.0050075
57.0,43.0,0.005,0.058,0.003,1.0,37.5720164,127.0050075
60.0,43.0,0.005,0.053,0.004,1.1,37.5720164,127.0050075
58.0,38.0,0.005,0.053,0.006,0.9,37.5720164,127.0050075
45.0,30.0,0.005,0.048,0.005,0.7,37.5720164,127.0050075
37.0,23.0,0.005,0.035,0.015,0.5,37.5720164,127.0050075
19.0,11.0,0.005,0.027,0.022,0.4,37.5720164,127.0050075
22.0,6.0,0.004,0.022,0.025,0.4,37.5720164,127.0050075
14.0,6.0,0.004,0.027,0.022,0.4,37.5720164,127.0050075
16.0,4.0,0.004,0.031,0.019,0.4,37.5720164,127.0050075
15.0,4.0,0.004,0.036,0.015,0.4,37.5720164,127.0050075
13.0,6.0,0.004,0.034,0.015,0.4,37.5720164,127.0050075
9.0,4.0,0.004,0.029,0.019,0.3,37.5720164,127.0050075
6.0,2.0,0.003,0.032,0.017,0.3,37.5720164,127.0050075
6.0,1.0,0.004,0.033,0.016,0.4,37.5720164,127.0050075
6.0,2.0,0.003,0.025,0.021,0.3,37.5720164,127.0050075
7.0,2.0,0.003,0.027,0.02,0.3,37.5720164,127.0050075
7.0,2.0,0.003,0.021,0.024,0.3,37.5720164,127.0050075
4.0,1.0,0.003,0.019,0.026,0.3,37.5720164,127.0050075
5.0,1.0,0.003,0.015,0.028,0.3,37.5720164,127.0050075
5.0,2.0,0.003,0.016,0.027,0.3,37.5720164,127.0050075
4.0,1.0,0.003,0.016,0.027,0.3,37.5720164,127.0050075
8.0,1.0,0.003,0.025,0.02,0.3,37.5720164,127.0050075
7.0,1.0,0.003,0.036,0.011,0.3,37.5720164,127.0050075
7.0,3.0,0.003,0.047,0.004,0.6,37.5720164,127.0050075
12.0,5.0,0.003,0.05,0.004,0.6,37.5720164,127.0050075
